enrollee_id,city,relevent_experience,education_level,major_discipline,experience,company_size,last_new_job,training_hours,target
10406,city_149,No relevent experience,Primary School,,4,,1,42,1
1613,city_72,Has relevent experience,Graduate,STEM,10,,never,54,0
20608,city_21,Has relevent experience,Masters,STEM,5,,never,24,1
27880,city_90,No relevent experience,Graduate,STEM,5,,1,60,1
26398,city_100,No relevent experience,High School,,4,,1,72,1
7159,city_16,Has relevent experience,Masters,STEM,13,100-500,>4,26,0
18281,city_89,Has relevent experience,Graduate,Arts,16,,1,28,0
31967,city_21,Has relevent experience,Graduate,STEM,7,50-99,never,102,0
26955,city_16,Has relevent experience,Graduate,STEM,10,,>4,13,0
19290,city_103,Has relevent experience,Graduate,STEM,>20,5000-9999,>4,18,0
6838,city_21,Has relevent experience,Masters,STEM,7,10-49,1,284,0
2353,city_21,No relevent experience,,,2,,1,31,1
26351,city_16,Has relevent experience,Graduate,STEM,14,5000-9999,>4,28,1
31075,city_21,Has relevent experience,Masters,STEM,8,1000-4999,2,13,0
10002,city_103,No relevent experience,Graduate,STEM,4,,never,82,1
12048,city_45,Has relevent experience,Masters,STEM,>20,,1,30,0
19068,city_103,No relevent experience,Graduate,STEM,5,500-999,1,30,0
2501,city_16,Has relevent experience,Graduate,Other,6,100-500,1,38,0
20741,city_73,Has relevent experience,High School,,7,,1,76,1
10893,city_144,Has relevent experience,Graduate,STEM,3,100-500,2,7,0
31767,city_21,No relevent experience,Graduate,STEM,<1,10000+,1,77,1
27709,city_103,Has relevent experience,Graduate,Arts,3,10-49,1,21,0
31782,city_16,No relevent experience,Graduate,STEM,4,50-99,1,52,0
28653,city_21,Has relevent experience,Graduate,STEM,15,500-999,>4,29,1
867,city_128,No relevent experience,High School,,4,,never,56,1
29820,city_103,Has relevent experience,High School,,8,10000+,1,39,0
31248,city_67,No relevent experience,Masters,Business Degree,1,500-999,never,11,0
32697,city_83,Has relevent experience,Graduate,STEM,4,10000+,1,11,0
26854,city_90,No relevent experience,High School,,1,,never,98,0
14848,city_101,No relevent experience,Graduate,STEM,2,10-49,never,71,1
9503,city_114,Has relevent experience,Graduate,STEM,>20,<10,>4,22,0
33304,city_106,Has relevent experience,Masters,STEM,8,,1,23,1
10653,city_21,Has relevent experience,Graduate,STEM,3,<10,1,332,0
9094,city_11,Has relevent experience,Graduate,STEM,7,50-99,1,81,0
23715,city_102,Has relevent experience,Masters,STEM,5,,1,62,0
10885,city_104,Has relevent experience,Masters,STEM,11,1000-4999,4,31,0
28459,city_167,Has relevent experience,High School,,14,100-500,1,26,0
6593,city_50,Has relevent experience,Masters,Other,>20,,never,21,0
14381,city_21,Has relevent experience,Graduate,STEM,3,10000+,1,19,1
13010,city_103,Has relevent experience,Graduate,STEM,6,10-49,2,19,0
6990,city_103,Has relevent experience,Graduate,STEM,8,50-99,2,44,0
21696,city_21,Has relevent experience,Graduate,STEM,6,10000+,4,20,0
18572,city_21,Has relevent experience,Graduate,STEM,>20,,>4,98,0
9110,city_36,Has relevent experience,Graduate,STEM,9,,4,178,0
2800,city_16,Has relevent experience,Masters,STEM,11,50-99,2,62,0
5366,city_16,Has relevent experience,Graduate,STEM,>20,<10,>4,81,0
15705,city_162,Has relevent experience,Graduate,STEM,3,<10,2,71,1
13484,city_16,Has relevent experience,Graduate,STEM,6,100-500,>4,72,0
11347,city_75,Has relevent experience,Graduate,STEM,>20,10000+,1,45,0
24895,city_21,Has relevent experience,Graduate,STEM,4,500-999,2,17,1
13858,city_16,Has relevent experience,Graduate,STEM,5,100-500,1,146,0
10611,city_71,No relevent experience,Phd,STEM,>20,50-99,>4,27,0
19645,city_21,Has relevent experience,Graduate,STEM,6,10-49,1,23,1
17585,city_114,Has relevent experience,Graduate,STEM,11,100-500,2,8,0
32241,city_103,Has relevent experience,Graduate,STEM,8,10000+,never,36,0
12794,city_16,Has relevent experience,Masters,STEM,14,1000-4999,>4,72,0
21596,city_16,No relevent experience,Graduate,STEM,3,<10,never,44,0
6665,city_21,Has relevent experience,Graduate,STEM,4,100-500,1,50,1
7194,city_50,Has relevent experience,Graduate,STEM,>20,,1,16,0
2929,city_73,Has relevent experience,Graduate,STEM,10,,2,31,1
33054,city_103,No relevent experience,High School,,2,,1,9,0
8585,city_103,Has relevent experience,Graduate,STEM,16,50-99,1,14,0
15942,city_103,Has relevent experience,Graduate,STEM,7,,2,310,0
16470,city_114,Has relevent experience,Graduate,STEM,6,50-99,1,94,0
21956,city_21,Has relevent experience,Masters,STEM,8,100-500,3,9,1
21692,city_21,Has relevent experience,Graduate,STEM,6,<10,1,88,0
32945,city_114,Has relevent experience,Graduate,STEM,<1,,2,26,1
11530,city_173,Has relevent experience,Masters,STEM,5,500-999,1,11,0
21105,city_41,No relevent experience,Masters,Business Degree,2,1000-4999,1,36,0
17639,city_103,Has relevent experience,Graduate,STEM,8,100-500,1,44,0
22181,city_44,No relevent experience,Graduate,Other,7,,never,112,1
5176,city_21,Has relevent experience,Graduate,STEM,7,50-99,2,46,1
17931,city_36,Has relevent experience,Graduate,STEM,>20,1000-4999,>4,28,1
10923,city_13,Has relevent experience,Masters,STEM,20,10-49,1,22,0
18686,city_21,Has relevent experience,Graduate,STEM,8,,1,44,0
16404,city_71,Has relevent experience,Masters,STEM,6,500-999,3,32,0
3353,city_16,Has relevent experience,High School,,19,100-500,>4,23,0
24107,city_160,Has relevent experience,Graduate,STEM,13,,>4,47,1
3029,city_114,Has relevent experience,Masters,STEM,6,50-99,2,78,0
24377,city_114,Has relevent experience,Masters,Other,7,1000-4999,never,57,0
11709,city_24,Has relevent experience,Graduate,STEM,15,100-500,>4,69,0
6278,city_160,Has relevent experience,Graduate,No Major,>20,10000+,>4,69,0
6157,city_104,Has relevent experience,Phd,STEM,12,<10,1,51,0
4487,city_105,Has relevent experience,Masters,STEM,5,50-99,1,84,0
8111,city_16,Has relevent experience,Graduate,STEM,>20,10-49,,42,0
19832,city_114,Has relevent experience,High School,,11,50-99,1,9,0
30630,city_21,No relevent experience,Graduate,STEM,10,,>4,6,1
18835,city_103,Has relevent experience,Graduate,No Major,3,,1,33,1
23987,city_152,No relevent experience,Graduate,STEM,3,10-49,1,55,1
24671,city_103,No relevent experience,Masters,Humanities,20,100-500,4,35,0
17679,city_36,No relevent experience,Graduate,STEM,2,,never,222,0
21192,city_114,No relevent experience,Graduate,STEM,7,,2,212,0
4029,city_103,Has relevent experience,Graduate,STEM,14,50-99,never,250,0
28907,city_160,Has relevent experience,Graduate,STEM,13,50-99,3,36,0
7826,city_36,Has relevent experience,High School,,12,,2,4,0
20728,city_11,Has relevent experience,Masters,STEM,8,,2,80,0
15217,city_103,No relevent experience,Graduate,STEM,7,,never,44,1
19737,city_16,Has relevent experience,Graduate,STEM,15,10000+,>4,33,0
10333,city_115,No relevent experience,Graduate,STEM,3,50-99,1,46,0
31422,city_123,Has relevent experience,Graduate,STEM,6,100-500,1,39,0
5763,city_149,Has relevent experience,Primary School,,16,,>4,154,0
10648,city_21,Has relevent experience,Graduate,STEM,5,50-99,never,111,0
1922,city_19,Has relevent experience,Graduate,STEM,9,10000+,>4,88,1
8237,city_50,No relevent experience,High School,,2,,1,20,1
26505,city_75,Has relevent experience,Graduate,STEM,15,,1,8,0
4198,city_103,Has relevent experience,Graduate,STEM,4,500-999,2,42,0
12512,city_21,Has relevent experience,Masters,STEM,6,,2,74,1
6866,city_103,No relevent experience,,,4,,never,154,0
19120,city_160,No relevent experience,Graduate,STEM,5,,1,116,0
13759,city_67,Has relevent experience,High School,,7,5000-9999,2,57,0
3436,city_67,Has relevent experience,Masters,STEM,15,10000+,>4,12,0
9290,city_162,Has relevent experience,Graduate,STEM,15,,>4,23,0
10515,city_21,Has relevent experience,Graduate,STEM,3,10-49,2,7,1
20766,city_145,Has relevent experience,,,3,50-99,2,5,1
10364,city_114,Has relevent experience,High School,,11,10000+,>4,107,0
8906,city_103,Has relevent experience,Masters,STEM,17,50-99,2,11,0
4182,city_103,Has relevent experience,Graduate,STEM,5,50-99,1,85,0
28141,city_21,No relevent experience,,,2,,never,72,0
12943,city_103,Has relevent experience,Graduate,STEM,7,10000+,4,50,0
26762,city_114,Has relevent experience,Masters,STEM,17,500-999,2,73,0
22100,city_103,Has relevent experience,Graduate,STEM,9,100-500,2,156,0
5549,city_75,Has relevent experience,Graduate,Arts,>20,1000-4999,>4,172,0
8001,city_21,Has relevent experience,Graduate,STEM,<1,50-99,1,74,0
14176,city_103,Has relevent experience,Graduate,STEM,3,,2,4,1
20988,city_103,No relevent experience,High School,,3,,1,24,1
10096,city_103,Has relevent experience,Graduate,STEM,14,,>4,99,0
18688,city_21,Has relevent experience,Graduate,STEM,2,,1,2,1
32990,city_21,Has relevent experience,,,3,,>4,132,1
18908,city_114,No relevent experience,Masters,STEM,10,1000-4999,2,37,0
8739,city_103,Has relevent experience,Graduate,STEM,19,500-999,>4,94,0
29900,city_11,No relevent experience,Graduate,STEM,3,,never,14,1
6372,city_13,No relevent experience,Masters,STEM,7,<10,1,44,0
15178,city_103,Has relevent experience,Masters,Humanities,>20,10000+,>4,80,0
9226,city_21,Has relevent experience,Graduate,Other,1,<10,,24,1
819,city_103,Has relevent experience,Graduate,STEM,>20,,3,27,1
6014,city_158,Has relevent experience,Graduate,STEM,3,,1,154,0
7537,city_103,Has relevent experience,Graduate,STEM,11,,1,55,0
30685,city_103,Has relevent experience,,,6,,,156,0
31595,city_103,Has relevent experience,Graduate,STEM,>20,1000-4999,>4,58,0
23812,city_28,Has relevent experience,High School,,8,,never,180,0
16712,city_74,Has relevent experience,Masters,Humanities,10,,never,27,0
7174,city_103,Has relevent experience,Graduate,STEM,6,5000-9999,2,246,0
28081,city_160,No relevent experience,Graduate,STEM,>20,100-500,1,4,0
1218,city_99,Has relevent experience,Graduate,STEM,10,50-99,4,128,0
8899,city_160,No relevent experience,Primary School,,<1,,never,53,0
5181,city_101,No relevent experience,Primary School,,4,,1,40,1
840,city_73,Has relevent experience,Graduate,STEM,9,50-99,1,102,0
2935,city_67,No relevent experience,High School,,7,,1,55,1
5107,city_103,Has relevent experience,Graduate,STEM,>20,50-99,1,143,0
4822,city_91,Has relevent experience,Graduate,STEM,4,,,34,1
31920,city_83,No relevent experience,Masters,STEM,4,,1,83,0
29220,city_21,No relevent experience,High School,,3,,never,9,0
21501,city_21,Has relevent experience,Graduate,STEM,6,5000-9999,2,81,1
13500,city_11,Has relevent experience,Graduate,STEM,6,500-999,1,62,1
5210,city_16,No relevent experience,Graduate,STEM,11,100-500,1,12,0
10443,city_75,Has relevent experience,Graduate,STEM,4,10-49,2,41,0
11068,city_21,Has relevent experience,Masters,STEM,9,,never,100,1
27205,city_114,No relevent experience,Graduate,STEM,9,,never,75,1
9921,city_103,Has relevent experience,Graduate,STEM,9,,4,86,0
10186,city_61,Has relevent experience,Masters,STEM,17,1000-4999,3,54,0
28508,city_21,No relevent experience,High School,,3,,never,145,0
24021,city_165,Has relevent experience,Phd,STEM,4,5000-9999,2,21,1
31611,city_103,Has relevent experience,Masters,STEM,>20,,>4,44,1
16681,city_138,Has relevent experience,Phd,Humanities,18,50-99,>4,23,0
12895,city_114,Has relevent experience,High School,,15,50-99,3,72,0
19356,city_103,Has relevent experience,Graduate,STEM,8,100-500,4,65,0
27663,city_114,Has relevent experience,Graduate,STEM,>20,<10,1,24,0
25779,city_114,No relevent experience,Graduate,STEM,17,,4,20,0
24349,city_173,Has relevent experience,Graduate,STEM,13,10-49,3,8,0
25613,city_160,Has relevent experience,Graduate,STEM,9,<10,2,104,0
27310,city_21,No relevent experience,High School,,4,,never,44,0
16109,city_160,Has relevent experience,Graduate,STEM,11,50-99,>4,74,1
30452,city_27,Has relevent experience,Graduate,STEM,9,<10,>4,8,0
9378,city_28,No relevent experience,Graduate,No Major,2,50-99,1,45,0
2688,city_73,Has relevent experience,Graduate,STEM,4,,never,7,1
21183,city_103,Has relevent experience,Graduate,STEM,>20,100-500,2,68,0
8221,city_83,Has relevent experience,Masters,STEM,15,100-500,4,24,0
4266,city_103,Has relevent experience,Graduate,STEM,3,500-999,1,65,0
15775,city_103,Has relevent experience,Graduate,Arts,4,50-99,1,31,0
6604,city_173,Has relevent experience,Masters,STEM,>20,<10,2,4,0
31510,city_104,Has relevent experience,Graduate,STEM,8,1000-4999,1,86,0
19544,city_21,Has relevent experience,Graduate,STEM,3,1000-4999,2,258,1
10321,city_103,Has relevent experience,Graduate,STEM,>20,<10,>4,42,0
5464,city_117,Has relevent experience,,,1,<10,1,112,0
17611,city_103,Has relevent experience,Graduate,STEM,6,,2,47,1
11664,city_50,No relevent experience,High School,,2,100-500,2,27,0
15407,city_90,Has relevent experience,Graduate,STEM,11,,1,6,1
21266,city_103,Has relevent experience,Graduate,STEM,4,,1,55,1
25555,city_103,Has relevent experience,Graduate,STEM,7,,2,107,1
32348,city_128,No relevent experience,Masters,STEM,4,,3,48,0
3858,city_21,No relevent experience,Graduate,STEM,2,,never,4,1
29955,city_155,Has relevent experience,Graduate,STEM,3,50-99,1,50,1
19583,city_160,Has relevent experience,High School,,15,10-49,2,33,0
12785,city_50,No relevent experience,Masters,STEM,9,10000+,1,11,0
21361,city_19,No relevent experience,Graduate,STEM,4,,1,34,1
11823,city_134,No relevent experience,,,3,,never,37,0
28681,city_103,No relevent experience,Graduate,STEM,1,,1,23,1
5030,city_24,No relevent experience,Graduate,STEM,3,,never,11,0
17170,city_16,Has relevent experience,Phd,STEM,>20,10-49,>4,57,0
16653,city_70,Has relevent experience,Graduate,STEM,2,1000-4999,1,140,1
16347,city_21,No relevent experience,Masters,STEM,1,,never,16,0
25439,city_23,Has relevent experience,Graduate,STEM,4,1000-4999,1,32,0
12595,city_23,Has relevent experience,Graduate,STEM,>20,5000-9999,,39,0
11985,city_20,No relevent experience,,,1,100-500,,88,0
20813,city_150,Has relevent experience,Graduate,STEM,6,50-99,1,20,0
24516,city_103,Has relevent experience,Masters,STEM,>20,,>4,18,0
17887,city_11,Has relevent experience,,,3,,,28,1
18968,city_103,Has relevent experience,Graduate,Arts,12,50-99,3,28,0
13347,city_21,Has relevent experience,,,9,10-49,1,2,1
3163,city_61,Has relevent experience,Masters,STEM,>20,50-99,1,116,0
22439,city_21,Has relevent experience,Masters,STEM,4,500-999,1,24,0
1323,city_36,Has relevent experience,Graduate,STEM,9,100-500,1,26,0
32115,city_16,Has relevent experience,Graduate,STEM,>20,50-99,1,24,0
28992,city_21,Has relevent experience,Graduate,STEM,5,10000+,1,330,0
5703,city_21,No relevent experience,Graduate,STEM,3,,never,44,0
382,city_21,No relevent experience,Graduate,Humanities,>20,50-99,>4,107,0
2075,city_16,No relevent experience,Graduate,STEM,1,10000+,1,11,1
32708,city_103,Has relevent experience,Graduate,Humanities,>20,,1,107,0
5562,city_73,No relevent experience,Primary School,,2,,never,102,0
24662,city_98,Has relevent experience,Graduate,STEM,12,5000-9999,2,158,0
8887,city_103,Has relevent experience,Graduate,STEM,15,50-99,1,59,1
8769,city_11,Has relevent experience,Graduate,STEM,4,50-99,1,74,0
15599,city_114,No relevent experience,Graduate,STEM,4,,1,60,1
23446,city_138,No relevent experience,Graduate,STEM,3,,1,12,1
21751,city_100,No relevent experience,Masters,STEM,8,,2,88,1
15579,city_26,Has relevent experience,High School,,6,10-49,1,78,0
31529,city_103,Has relevent experience,Graduate,STEM,15,10000+,>4,50,0
10730,city_16,No relevent experience,High School,,2,,never,16,0
29811,city_103,Has relevent experience,Masters,STEM,18,1000-4999,1,111,0
22534,city_16,Has relevent experience,Masters,STEM,7,5000-9999,2,62,0
11435,city_165,Has relevent experience,Graduate,STEM,5,50-99,1,108,0
9305,city_118,Has relevent experience,Graduate,STEM,11,10-49,1,91,0
14761,city_21,Has relevent experience,Graduate,STEM,6,100-500,2,71,1
20683,city_103,Has relevent experience,Masters,STEM,>20,,>4,102,1
3205,city_143,No relevent experience,Graduate,STEM,2,,never,141,1
10501,city_21,Has relevent experience,Graduate,STEM,1,10000+,1,167,1
11015,city_36,Has relevent experience,Graduate,STEM,14,10-49,>4,17,0
20928,city_16,Has relevent experience,Graduate,No Major,>20,,>4,148,0
20583,city_21,Has relevent experience,Masters,STEM,3,50-99,2,60,0
31675,city_21,No relevent experience,High School,,3,,never,12,0
23684,city_102,Has relevent experience,Graduate,STEM,16,,1,166,0
933,city_36,No relevent experience,High School,,5,50-99,1,32,0
33144,city_19,Has relevent experience,Graduate,STEM,15,50-99,2,74,0
3126,city_103,Has relevent experience,Graduate,STEM,19,1000-4999,1,13,0
9108,city_67,Has relevent experience,Masters,STEM,>20,,1,12,0
18726,city_73,Has relevent experience,Masters,STEM,7,50-99,>4,41,0
7772,city_21,Has relevent experience,Graduate,STEM,6,50-99,never,11,0
27493,city_103,Has relevent experience,Graduate,STEM,12,1000-4999,2,5,0
31691,city_102,Has relevent experience,Masters,STEM,10,100-500,>4,32,0
21156,city_11,Has relevent experience,Graduate,STEM,6,,1,78,1
7968,city_16,No relevent experience,Graduate,STEM,>20,100-500,1,18,0
9973,city_103,Has relevent experience,Graduate,STEM,>20,10000+,>4,156,0
18189,city_90,No relevent experience,Graduate,STEM,4,,4,15,0
12362,city_21,Has relevent experience,Graduate,STEM,<1,10000+,,28,1
8547,city_16,Has relevent experience,Graduate,STEM,11,,1,82,0
2691,city_100,Has relevent experience,Graduate,STEM,5,10000+,1,222,0
13824,city_16,Has relevent experience,High School,,17,10000+,>4,22,0
9370,city_104,Has relevent experience,High School,,11,50-99,1,36,0
24630,city_90,Has relevent experience,Masters,STEM,9,100-500,3,30,1
28165,city_103,Has relevent experience,Graduate,STEM,8,50-99,2,168,0
25301,city_136,No relevent experience,Masters,STEM,3,50-99,3,156,0
7828,city_21,Has relevent experience,Graduate,STEM,5,10000+,2,29,1
26339,city_103,Has relevent experience,Graduate,STEM,15,50-99,1,37,0
20296,city_160,Has relevent experience,Graduate,STEM,5,,4,41,1
6355,city_152,Has relevent experience,Masters,STEM,12,1000-4999,1,146,0
22609,city_114,Has relevent experience,Graduate,STEM,5,1000-4999,>4,37,0
4730,city_16,Has relevent experience,Graduate,STEM,19,,>4,24,0
28200,city_93,Has relevent experience,Masters,STEM,>20,10-49,4,7,1
20806,city_100,Has relevent experience,Masters,Humanities,>20,,never,15,0
16667,city_136,Has relevent experience,Graduate,STEM,7,50-99,1,21,0
24034,city_21,Has relevent experience,Masters,STEM,7,10000+,never,216,1
27659,city_28,Has relevent experience,Graduate,STEM,8,10000+,1,114,0
28881,city_11,Has relevent experience,Graduate,STEM,<1,,1,41,1
22113,city_103,No relevent experience,Graduate,STEM,6,,1,220,0
2021,city_21,No relevent experience,High School,,4,<10,,4,0
16586,city_114,Has relevent experience,Masters,STEM,12,50-99,4,34,0
14728,city_114,Has relevent experience,Graduate,STEM,>20,100-500,1,26,0
7713,city_103,Has relevent experience,Graduate,STEM,18,50-99,>4,126,0
32980,city_99,Has relevent experience,Graduate,STEM,9,500-999,1,28,1
26251,city_103,Has relevent experience,Graduate,STEM,6,100-500,2,135,0
21255,city_99,Has relevent experience,High School,,>20,1000-4999,2,26,0
26830,city_103,Has relevent experience,Graduate,Humanities,2,10000+,1,80,0
6529,city_21,Has relevent experience,Graduate,STEM,8,500-999,2,113,0
9884,city_103,Has relevent experience,Graduate,Humanities,13,<10,4,30,1
8238,city_33,Has relevent experience,Graduate,STEM,10,50-99,>4,48,1
13251,city_103,No relevent experience,Primary School,,8,,never,110,0
8086,city_90,No relevent experience,Masters,STEM,3,50-99,3,149,0
10607,city_67,Has relevent experience,Masters,STEM,>20,,>4,39,1
1719,city_75,Has relevent experience,Graduate,STEM,10,50-99,4,7,0
12133,city_160,Has relevent experience,Graduate,STEM,18,10000+,2,18,0
25630,city_71,Has relevent experience,Masters,STEM,18,100-500,2,16,0
6079,city_67,Has relevent experience,Masters,STEM,12,,never,50,0
28767,city_160,Has relevent experience,Graduate,STEM,>20,,>4,30,1
11164,city_103,Has relevent experience,Graduate,STEM,9,10000+,3,47,0
6849,city_143,No relevent experience,Graduate,STEM,>20,,never,31,0
16729,city_16,Has relevent experience,Graduate,STEM,17,,1,43,0
23197,city_103,Has relevent experience,Masters,STEM,>20,50-99,3,69,0
31519,city_21,No relevent experience,Graduate,STEM,4,,never,37,1
19450,city_67,Has relevent experience,Graduate,STEM,3,100-500,1,20,0
29499,city_19,No relevent experience,Graduate,Other,13,,2,42,0
3716,city_46,Has relevent experience,Graduate,STEM,6,10-49,1,23,0
23519,city_103,No relevent experience,Graduate,STEM,3,,never,45,0
29485,city_99,No relevent experience,Graduate,STEM,4,,1,48,1
25346,city_114,Has relevent experience,Graduate,STEM,>20,,>4,14,1
28853,city_16,No relevent experience,Graduate,Humanities,4,,2,76,1
9687,city_103,Has relevent experience,Graduate,STEM,9,50-99,>4,140,0
